agent_a_key,agent_b_key,avg_decision_sec_a,avg_decision_sec_b,avg_game_length,avg_score_a,avg_score_b,cache_enabled,draw_rate,draws,game,legal_cache_hit_rate,losses_a,n_matches,next_cache_hit_rate,win_rate_a,wins_a
pure_mct,random,0.2432647293021104,4.213175132116746e-06,6.1,100.0,0.0,True,0.0,0,ticTacToe,0.6621952880294157,0,10,0.18218298555377208,1.0,10
heuristic_mcts,pure_mct,0.16284289587000828,0.16534428763432457,8.2,60.0,40.0,True,0.6,6,ticTacToe,0.7961129057882752,1,10,0.3686181434599156,0.3,3
value_greedy:token_transformer,random,0.0025490178201358674,2.0799095398702084e-06,8.2,45.0,55.0,True,0.1,1,ticTacToe,0.0,5,10,0.13,0.4,4
neural_mcts:token_transformer,pure_mct,0.23651277628511055,0.22494747252396627,6.3,35.0,65.0,True,0.1,1,ticTacToe,0.7674066823864395,6,10,0.2534202552566339,0.3,3
neural_mcts:token_transformer,heuristic_mcts,0.2269677637383667,0.20721375158186892,6.9,25.0,75.0,True,0.3,3,ticTacToe,0.8092625199623275,6,10,0.3080268164522558,0.1,1
pure_mct,random,0.36328778050795807,2.6272142482391877e-06,14.1,100.0,0.0,True,0.0,0,connectFour,0.13861469670125706,0,10,0.014829084718426594,1.0,10
heuristic_mcts,pure_mct,0.3405049137649355,0.3587498150952345,13.9,20.0,80.0,True,0.0,0,connectFour,0.20799204771371768,8,10,0.052255509641873275,0.2,2
value_greedy:token_transformer,random,0.004670749004814441,4.097443385687811e-06,22.0,30.0,70.0,True,0.0,0,connectFour,0.0,7,10,0.1010194624652456,0.3,3
neural_mcts:token_transformer,pure_mct,0.31674487058712053,0.35095739184916813,9.2,50.0,50.0,True,0.0,0,connectFour,0.40048236111678864,5,10,0.05325349724459517,0.5,5
neural_mcts:token_transformer,heuristic_mcts,0.32766827246744934,0.3551806460932287,12.2,30.0,70.0,True,0.0,0,connectFour,0.4513296608036688,7,10,0.0948875704973266,0.3,3
pure_mct,random,0.3577897314745656,6.20214197639516e-06,67.9,60.0,40.0,True,0.0,0,breakthrough,0.08766749943220531,4,10,0.026810057558315663,0.6,6
heuristic_mcts,pure_mct,0.35808206840260387,0.3577658451399106,57.4,50.0,50.0,True,0.0,0,breakthrough,0.08395273489613113,5,10,0.02949304364398704,0.5,5
value_greedy:token_transformer,random,0.12699885795973861,6.214163465327773e-06,66.8,50.0,50.0,True,0.0,0,breakthrough,0.0,5,10,0.03608080371610673,0.5,5
neural_mcts:token_transformer,pure_mct,0.36192092928175257,0.3611217764488243,57.0,70.0,30.0,True,0.0,0,breakthrough,0.44674695026587424,3,10,0.06219120069014195,0.7,7
neural_mcts:token_transformer,heuristic_mcts,0.3630073218436002,0.36163303056981255,56.8,70.0,30.0,True,0.0,0,breakthrough,0.4528118939883646,3,10,0.06389517955354254,0.7,7
