agent_a_key,agent_b_key,avg_decision_sec_a,avg_decision_sec_b,avg_game_length,avg_score_a,avg_score_b,cache_enabled,draw_rate,draws,game,legal_cache_hit_rate,losses_a,n_matches,next_cache_hit_rate,time_budget,win_rate_a,wins_a
pure_mct,random,0.10553071250237286,3.599056988836281e-06,6.4,80.0,20.0,True,0.2,2,ticTacToe,0.7257911177509168,1,10,0.17971269422456757,0.2,0.7,7
heuristic_mcts,random,0.09756392390164177,4.667472574741595e-06,7.1,70.0,30.0,True,0.2,2,ticTacToe,0.5495226730310262,2,10,0.13805004314063848,0.2,0.6,6
neural_mcts:token_transformer,random,0.11430082472634413,6.813274036782483e-06,6.3,80.0,20.0,True,0.0,0,ticTacToe,0.8583815028901735,2,10,0.12615384615384614,0.2,0.8,8
pure_mct,random,0.1035707959236464,4.432147996678142e-06,16.4,70.0,30.0,True,0.0,0,connectFour,0.13114754098360656,3,10,0.044626593806921674,0.2,0.7,7
heuristic_mcts,random,0.10390230972208403,5.7658398130387545e-06,18.4,70.0,30.0,True,0.0,0,connectFour,0.16251005631536605,3,10,0.0500201694231545,0.2,0.7,7
neural_mcts:token_transformer,random,0.1095894595962876,6.402375435245252e-06,12.5,100.0,0.0,True,0.0,0,connectFour,0.8164835164835165,0,10,0.0942622950819672,0.2,1.0,10
pure_mct,random,0.11219260628063032,7.217442500586073e-06,66.0,50.0,50.0,True,0.0,0,breakthrough,0.2347883597883598,5,10,0.1130952380952381,0.2,0.5,5
heuristic_mcts,random,0.11206838438912525,6.768676973555496e-06,68.2,50.0,50.0,True,0.0,0,breakthrough,0.23154574132492114,5,10,0.11230283911671925,0.2,0.5,5
neural_mcts:token_transformer,random,0.11073768833044359,7.237163498242587e-06,62.9,60.0,40.0,True,0.0,0,breakthrough,0.7230295024218406,4,10,0.13870541611624834,0.2,0.6,6
pure_mct,random,0.3595369467700625,5.641319375071261e-06,6.6,90.0,10.0,True,0.2,2,ticTacToe,0.7111632682998387,0,10,0.16911764705882354,0.7,0.8,8
heuristic_mcts,random,0.3750112465953377,5.546223320480851e-06,6.0,95.0,5.0,True,0.1,1,ticTacToe,0.744566712517194,0,10,0.23043351760256037,0.7,0.9,9
neural_mcts:token_transformer,random,0.37196571236653697,6.423118590776409e-06,5.7,80.0,20.0,True,0.0,0,ticTacToe,0.929818311364446,2,10,0.06388888888888888,0.7,0.8,8
pure_mct,random,0.3611291135961778,5.396182032956247e-06,18.8,90.0,10.0,True,0.0,0,connectFour,0.11796141814389989,1,10,0.01855041738439115,0.7,0.9,9
heuristic_mcts,random,0.36086803546048396,5.4246156961195145e-06,18.1,100.0,0.0,True,0.0,0,connectFour,0.15961800818553887,0,10,0.030945043656908065,0.7,1.0,10
neural_mcts:token_transformer,random,0.37014852404679366,5.170782219245666e-06,13.9,80.0,20.0,True,0.0,0,connectFour,0.8778835978835979,2,10,0.044845122515025426,0.7,0.8,8
pure_mct,random,0.36084331505471356,6.174339692179713e-06,62.6,70.0,30.0,True,0.0,0,breakthrough,0.07689147552208148,3,10,0.022415684123937483,0.7,0.7,7
heuristic_mcts,random,0.3534032009119743,4.553783296918023e-06,56.0,50.0,50.0,True,0.0,0,breakthrough,0.07002641739483845,5,10,0.011826864458443406,0.7,0.5,5
neural_mcts:token_transformer,random,0.35732353017670554,3.917337142914362e-06,49.2,90.0,10.0,True,0.0,0,breakthrough,0.7128551213671492,1,10,0.020943688370955914,0.7,0.9,9
pure_mct,random,0.31725668219114944,2.140599036855357e-06,6.2,90.0,10.0,True,0.0,0,ticTacToe,0.717176939838239,1,10,0.2070515036294504,1.5,0.9,9
heuristic_mcts,random,0.3007356246515724,2.4964932411436052e-06,6.1,95.0,5.0,True,0.1,1,ticTacToe,0.7532819416882919,0,10,0.2662290825158684,1.5,0.9,9
neural_mcts:token_transformer,random,0.4097866694595007,2.4483384590389e-06,6.2,90.0,10.0,True,0.0,0,ticTacToe,0.9220738900962434,1,10,0.05276292335115865,1.5,0.9,9
pure_mct,random,0.7375083962755287,2.0094951310927215e-06,11.3,100.0,0.0,True,0.0,0,connectFour,0.17273493281298505,0,10,0.015935572309801235,1.5,1.0,10
heuristic_mcts,random,0.7350354509191852,2.6387735478268214e-06,12.3,100.0,0.0,True,0.0,0,connectFour,0.23361869380283207,0,10,0.03176420088710831,1.5,1.0,10
neural_mcts:token_transformer,random,0.5305341986259561,2.5157971182264962e-06,9.9,100.0,0.0,True,0.0,0,connectFour,0.8843114580321866,0,10,0.037359190075573936,1.5,1.0,10
pure_mct,random,0.7534557280738976,2.264336539954174e-06,56.6,70.0,30.0,True,0.0,0,breakthrough,0.04723642561480399,3,10,0.005123686443443639,1.5,0.7,7
heuristic_mcts,random,0.7540327682799534,2.8847756430651035e-06,47.7,80.0,20.0,True,0.0,0,breakthrough,0.06680721842904393,2,10,0.005476237042831997,1.5,0.8,8
neural_mcts:token_transformer,random,0.7491780496373077,2.7493886111881e-06,46.4,90.0,10.0,True,0.0,0,breakthrough,0.8711032741205155,1,10,0.010485802929741193,1.5,0.9,9
