agent_a_key,agent_b_key,avg_decision_sec_a,avg_decision_sec_b,avg_game_length,avg_score_a,avg_score_b,cache_enabled,draw_rate,draws,game,legal_cache_hit_rate,losses_a,n_matches,next_cache_hit_rate,search_iterations,win_rate_a,wins_a
pure_mct,random,0.1261974989811036,1.838156022131443e-06,5.7,100.0,0.0,True,0.0,0,ticTacToe,0.5184878587196468,0,10,0.1196181205540996,50,1.0,10
heuristic_mcts,random,0.10612589907651353,2.5528262088459637e-06,6.4,90.0,10.0,True,0.2,2,ticTacToe,0.5979536152796726,0,10,0.19471756313861577,50,0.8,8
neural_mcts:token_transformer,random,0.12854584296830812,2.7382595460891486e-06,6.7,70.0,30.0,True,0.2,2,ticTacToe,0.9138314785373609,2,10,0.057837384744341996,50,0.6,6
pure_mct,random,0.35668370160517776,2.0345553630622446e-06,14.1,100.0,0.0,True,0.0,0,connectFour,0.13242394978271366,0,10,0.015249989380230236,50,1.0,10
heuristic_mcts,random,0.34408897382060416,2.510446590136761e-06,12.7,100.0,0.0,True,0.0,0,connectFour,0.22017045454545456,0,10,0.040514972030273114,50,1.0,10
neural_mcts:token_transformer,random,0.18546675618096867,2.556909437374883e-06,13.7,60.0,40.0,True,0.0,0,connectFour,0.9076182838813152,4,10,0.034182908545727135,50,0.6,6
pure_mct,random,0.35121797200936716,2.3214147395665788e-06,62.8,50.0,50.0,True,0.0,0,breakthrough,0.05187868944623169,5,10,0.010275790986038667,50,0.5,5
heuristic_mcts,random,0.35192667796751176,2.9189132193687633e-06,60.4,70.0,30.0,True,0.0,0,breakthrough,0.07292713771523071,3,10,0.010740788959770863,50,0.7,7
neural_mcts:token_transformer,random,0.34858232467065897,2.909665212366323e-06,46.1,100.0,0.0,True,0.0,0,breakthrough,0.7004965125901407,0,10,0.020716443677168753,50,1.0,10
pure_mct,random,0.2226611230452545,2.1081365412101147e-06,6.0,95.0,5.0,True,0.1,1,ticTacToe,0.6575238095238095,0,10,0.18402850555439113,120,0.9,9
heuristic_mcts,random,0.21470896556119748,3.1282134457594823e-06,5.8,95.0,5.0,True,0.1,1,ticTacToe,0.6943356132545322,0,10,0.23456925954450433,120,0.9,9
neural_mcts:token_transformer,random,0.2578851549714316,2.8917065078747417e-06,5.9,100.0,0.0,True,0.0,0,ticTacToe,0.921484888304862,0,10,0.04938271604938271,120,1.0,10
pure_mct,random,0.36007334395912005,1.9752472605604945e-06,13.9,100.0,0.0,True,0.0,0,connectFour,0.15406184282264973,0,10,0.015424595523514125,120,1.0,10
heuristic_mcts,random,0.36678493647931065,2.8649345855906758e-06,14.9,100.0,0.0,True,0.0,0,connectFour,0.22505770710438575,0,10,0.04073811213626686,120,1.0,10
neural_mcts:token_transformer,random,0.3145823523751841,2.603078144098515e-06,11.6,70.0,30.0,True,0.0,0,connectFour,0.8931631254283756,3,10,0.02806122448979592,120,0.7,7
pure_mct,random,0.3516393998189326,2.362332678882502e-06,61.5,60.0,40.0,True,0.0,0,breakthrough,0.055086500780577946,4,10,0.010484050858799911,120,0.6,6
heuristic_mcts,random,0.351334693498636,2.903282551841401e-06,48.7,60.0,40.0,True,0.0,0,breakthrough,0.06531175205874001,4,10,0.010355329949238578,120,0.6,6
neural_mcts:token_transformer,random,0.3560812617018455,2.9300799578379165e-06,48.5,80.0,20.0,True,0.0,0,breakthrough,0.7098748565495382,2,10,0.02076520601700458,120,0.8,8
pure_mct,random,0.2967954984734145,2.213505601199965e-06,5.7,100.0,0.0,True,0.0,0,ticTacToe,0.7797746568277394,0,10,0.21042045781055455,300,1.0,10
heuristic_mcts,random,0.29070529252878347,3.0370758447263923e-06,5.7,100.0,0.0,True,0.0,0,ticTacToe,0.8096769195010459,0,10,0.2861989912883998,300,1.0,10
neural_mcts:token_transformer,random,0.29709892387851145,2.7475732799974227e-06,6.2,90.0,10.0,True,0.0,0,ticTacToe,0.9652966576043499,1,10,0.067621776504298,300,0.9,9
pure_mct,random,0.3624727080973574,2.001569121988159e-06,17.5,100.0,0.0,True,0.0,0,connectFour,0.14804961697490304,0,10,0.015068493150684932,300,1.0,10
heuristic_mcts,random,0.36323138106072783,2.5890987921223016e-06,12.9,100.0,0.0,True,0.0,0,connectFour,0.2563070316693505,0,10,0.03906611188164586,300,1.0,10
neural_mcts:token_transformer,random,0.3352745010707342,2.62399114873986e-06,12.3,80.0,20.0,True,0.0,0,connectFour,0.9067812441621521,2,10,0.027724297266076243,300,0.8,8
pure_mct,random,0.3504643214027439,2.3101870537533696e-06,62.1,40.0,60.0,True,0.0,0,breakthrough,0.05736022981974303,6,10,0.010590206429993993,300,0.4,4
heuristic_mcts,random,0.3508193450743627,2.97288866770342e-06,51.0,50.0,50.0,True,0.0,0,breakthrough,0.06852978797627815,5,10,0.010867877658748642,300,0.5,5
neural_mcts:token_transformer,random,0.35689405073180075,2.9038464535026115e-06,48.3,80.0,20.0,True,0.0,0,breakthrough,0.7148690586377743,2,10,0.020718679184202008,300,0.8,8
