agent_a_key,agent_b_key,avg_decision_sec_a,avg_decision_sec_b,avg_game_length,avg_score_a,avg_score_b,cache_enabled,draw_rate,draws,game,legal_cache_hit_rate,losses_a,n_matches,next_cache_hit_rate,win_rate_a,wins_a
value_greedy:fact_mlp,random,0.0038769749524455244,1.7033850564898568e-06,7.5,60.0,40.0,True,0.0,0,ticTacToe,0.0,4,10,0.1310344827586207,0.6,6
value_greedy:token_mlp,random,0.0028431900001441323,1.4994244872742991e-06,8.2,45.0,55.0,True,0.1,1,ticTacToe,0.0,5,10,0.13,0.4,4
value_greedy:token_transformer,random,0.0019911186908107732,1.5088288212912935e-06,8.2,45.0,55.0,True,0.1,1,ticTacToe,0.0,5,10,0.13,0.4,4
neural_mcts:fact_mlp,pure_mct,0.07205142177791357,0.16634108380482052,7.3,25.0,75.0,True,0.5,5,ticTacToe,0.7853041295602242,5,10,0.23486447005356273,0.0,0
neural_mcts:token_mlp,pure_mct,0.0896610935121348,0.15178080902375063,7.8,45.0,55.0,True,0.5,5,ticTacToe,0.7965618860510806,3,10,0.2523076923076923,0.2,2
neural_mcts:token_transformer,pure_mct,0.1962721040325454,0.16469976513058632,7.2,35.0,65.0,True,0.3,3,ticTacToe,0.7832082450533271,5,10,0.2437530622243998,0.2,2
neural_mcts:fact_mlp,heuristic_mcts,0.08467417242908148,0.15696968197948832,7.2,20.0,80.0,True,0.2,2,ticTacToe,0.8141685569708602,7,10,0.30364963503649633,0.1,1
neural_mcts:token_mlp,heuristic_mcts,0.08832265778991415,0.15804447568219868,6.9,35.0,65.0,True,0.3,3,ticTacToe,0.811132136099111,5,10,0.3034191504913506,0.2,2
neural_mcts:token_transformer,heuristic_mcts,0.20450477684050483,0.16215797653156505,6.9,10.0,90.0,True,0.2,2,ticTacToe,0.8134743467759643,8,10,0.3069530335951864,0.0,0
value_greedy:fact_mlp,random,0.004070897883535722,1.4431415111300476e-06,22.0,30.0,70.0,True,0.0,0,connectFour,0.0,7,10,0.1010194624652456,0.3,3
value_greedy:token_mlp,random,0.004356185099736199,1.4176276440080636e-06,22.0,30.0,70.0,True,0.0,0,connectFour,0.0,7,10,0.1010194624652456,0.3,3
value_greedy:token_transformer,random,0.002726453765976771,1.3474468797521965e-06,22.0,30.0,70.0,True,0.0,0,connectFour,0.0,7,10,0.1010194624652456,0.3,3
neural_mcts:fact_mlp,pure_mct,0.10853675392451792,0.3410823167631848,12.0,70.0,30.0,True,0.0,0,connectFour,0.4190401331607176,3,10,0.06095392581963378,0.7,7
neural_mcts:token_mlp,pure_mct,0.10959750270242477,0.3416641774766348,9.8,70.0,30.0,True,0.0,0,connectFour,0.4008185614335887,3,10,0.055666003976143144,0.7,7
neural_mcts:token_transformer,pure_mct,0.3055503221531747,0.3451951870176355,10.1,60.0,40.0,True,0.0,0,connectFour,0.3848139755027108,4,10,0.05593107034093441,0.6,6
neural_mcts:fact_mlp,heuristic_mcts,0.12055951226086117,0.34877330879990237,16.9,60.0,40.0,True,0.0,0,connectFour,0.45686387671382445,4,10,0.0819700104515496,0.6,6
neural_mcts:token_mlp,heuristic_mcts,0.13897793987186685,0.35693399164360395,21.6,30.0,70.0,True,0.0,0,connectFour,0.4918708959095107,7,10,0.09527379167559077,0.3,3
neural_mcts:token_transformer,heuristic_mcts,0.31354838739593116,0.3494002873869919,11.3,40.0,60.0,True,0.0,0,connectFour,0.42247527030135723,6,10,0.0770346640877633,0.4,4
value_greedy:fact_mlp,random,0.051813000868609994,1.9717036822968526e-06,53.9,80.0,20.0,True,0.0,0,breakthrough,0.0,2,10,0.03712328767123288,0.8,8
value_greedy:token_mlp,random,0.0528192323473082,1.8981967431602824e-06,60.6,50.0,50.0,True,0.0,0,breakthrough,0.0,5,10,0.03677630780434519,0.5,5
value_greedy:token_transformer,random,0.03884876379538306,1.6826347545610508e-06,66.8,50.0,50.0,True,0.0,0,breakthrough,0.0,5,10,0.03608080371610673,0.5,5
neural_mcts:fact_mlp,pure_mct,0.3501559744057947,0.3528325147689224,42.6,70.0,30.0,True,0.0,0,breakthrough,0.535046658412104,3,10,0.01566393007392885,0.7,7
neural_mcts:token_mlp,pure_mct,0.3491017268382136,0.3539373211957271,37.2,50.0,50.0,True,0.0,0,breakthrough,0.5140125886556984,5,10,0.01574422872597315,0.5,5
neural_mcts:token_transformer,pure_mct,0.3534667716436285,0.35132300187927734,51.2,70.0,30.0,True,0.0,0,breakthrough,0.3379734901003827,3,10,0.01822876775280653,0.7,7
neural_mcts:fact_mlp,heuristic_mcts,0.3479230174361692,0.35232795771348674,33.8,50.0,50.0,True,0.0,0,breakthrough,0.5299440071411182,5,10,0.016709826904729455,0.5,5
neural_mcts:token_mlp,heuristic_mcts,0.3468916084318279,0.35232229113642466,29.0,50.0,50.0,True,0.0,0,breakthrough,0.5147966939008171,5,10,0.016460384286663923,0.5,5
neural_mcts:token_transformer,heuristic_mcts,0.353699540603569,0.3495145605234835,51.4,70.0,30.0,True,0.0,0,breakthrough,0.353516897025834,3,10,0.02040464545043201,0.7,7
