agent_a_key,agent_b_key,mean_avg_decision_sec_a,mean_avg_decision_sec_b,mean_avg_game_length,mean_avg_score_a,mean_avg_score_b,mean_draw_rate,mean_legal_cache_hit_rate,mean_next_cache_hit_rate,mean_win_rate_a,n_games
random,random,3.4714716353586742e-06,2.014317682811192e-06,7.0,100.0,0.0,0.0,0.0,0.0,1.0,1
pure_mct,random,0.024478942887591466,3.62853253526347e-06,7.0,100.0,0.0,0.0,0.6666666666666666,0.13333333333333333,1.0,1
heuristic_mcts,pure_mct,0.027014399995096028,0.024971349979750812,6.0,0.0,100.0,0.0,0.7777777777777778,0.1111111111111111,0.0,1
value_greedy:fact_mlp,random,0.02301868749782443,4.012486897408962e-06,8.0,0.0,100.0,0.0,0.0,0.125,0.0,1
value_greedy:token_transformer,random,0.04385436667750279,3.166729584336281e-06,6.0,0.0,100.0,0.0,0.0,0.1111111111111111,0.0,1
neural_mcts:fact_mlp,pure_mct,0.02828363995067775,0.02448324006982148,5.0,100.0,0.0,0.0,0.9161290322580645,0.23333333333333334,1.0,1
neural_mcts:token_mlp,pure_mct,0.034358959970995785,0.028563240030780434,5.0,100.0,0.0,0.0,0.9333333333333333,0.23333333333333334,1.0,1
neural_mcts:token_transformer,pure_mct,0.04590371430718473,0.037580242879422646,7.0,100.0,0.0,0.0,0.9281437125748503,0.2962962962962963,1.0,1
neural_mcts:fact_mlp,heuristic_mcts,0.03723342004232109,0.04084997996687889,5.0,100.0,0.0,0.0,0.9513513513513514,0.28,1.0,1
neural_mcts:token_mlp,heuristic_mcts,0.04307414004579187,0.05117932003922761,5.0,100.0,0.0,0.0,0.9463414634146341,0.28,1.0,1
neural_mcts:token_transformer,heuristic_mcts,0.05301152006722987,0.08565376000478864,5.0,100.0,0.0,0.0,0.9423076923076923,0.35714285714285715,1.0,1
