[progress][group-start] 1/6 game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct
swipl: /home/yuancheng/anaconda3/envs/ggp_thesis/lib/swipl/bin/x86_64-linux/../../lib/x86_64-linux/../../../libtinfo.so.6: no version information available (required by /home/yuancheng/anaconda3/envs/ggp_thesis/lib/swipl/bin/x86_64-linux/../../lib/x86_64-linux/libswipl.so.10)
/home/yuancheng/workspace/GGP/graduation_thesis/src/nn/inference.py:42: FutureWarning: You are using `torch.load` with `weights_only=False` (the current default value), which uses the default pickle module implicitly. It is possible to construct malicious pickle data which will execute arbitrary code during unpickling (See https://github.com/pytorch/pytorch/blob/main/SECURITY.md#untrusted-models for more details). In a future release, the default value for `weights_only` will be flipped to `True`. This limits the functions that could be executed during unpickling. Arbitrary objects will no longer be allowed to be loaded via this mode unless they are explicitly allowlisted by the user via `torch.serialization.add_safe_globals`. We recommend you start setting `weights_only=True` for any use case where you don't have full control of the loaded file. Please open an issue on GitHub for any issues related to this experimental feature.
  checkpoint = torch.load(model_path, map_location=device)
/home/yuancheng/anaconda3/envs/ggp_thesis/lib/python3.10/site-packages/torch/nn/modules/transformer.py:502: UserWarning: The PyTorch API of nested tensors is in prototype stage and will change in the near future. (Triggered internally at ../aten/src/ATen/NestedTensorImpl.cpp:178.)
  output = torch._nested_tensor_from_mask(
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=1/50 winner=a score_a=100.0 score_b=0.0 ply=47 elapsed_sec=25.89
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=2/50 winner=a score_a=100.0 score_b=0.0 ply=72 elapsed_sec=36.57
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=3/50 winner=b score_a=0.0 score_b=100.0 ply=66 elapsed_sec=33.54
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=4/50 winner=a score_a=100.0 score_b=0.0 ply=76 elapsed_sec=38.60
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=5/50 winner=b score_a=0.0 score_b=100.0 ply=54 elapsed_sec=27.46
[progress][match] game=breakthrough pair=neural_mcts:baseline_token_transformer_2000__vs__pure_mct round=6/50 winner=a score_a=100.0 score_b=0.0 ply=76 elapsed_sec=38.60
